protein	SRR2131211	SRR2131212
K11066	5	2
K11068	12	24
K11069	10	19
K11070	4	11
K11071	5	8
K11072	10	31
K11073	7	1
K11074	2	4
K11075	3	4
K11076	10	8
K11081	4	0
K11082	4	2
K11083	6	5
K11084	5	2
K11085	15	27
K11102	8	8
K11103	9	9
K11104	6	3
K11105	11	21
K11106	8	8
K11107	2	2
K11121	1	2
K11141	0	1
K11144	0	6
K11145	1	4
K11146	0	1
K11147	0	2
K11150	1	1
K11165	0	1
K11173	0	1
K11175	5	16
K11179	2	3
K11183	13	12
K11189	2	5
K11192	10	9
K11200	0	4
K11201	0	13
K11202	0	3
K11203	0	4
K11208	3	1
K11209	3	4
K11214	0	1
K11216	8	9
K11229	0	1
K11231	1	2
K11249	2	0
K11250	5	1
K11258	1	1
K11261	1	0
K11263	11	9
K11273	0	1
K11329	0	1
K11357	1	1
K11358	4	0
K11367	0	2
K11381	1	1
K11382	8	10
K11384	2	1
K11391	5	7
K11392	8	5
K11407	0	1
K11411	0	1
K11414	1	4
K11415	0	1
K11438	0	1
K11443	1	1
K11444	1	0
K11473	0	2
K11475	0	1
K11484	0	1
K11504	0	1
K11517	0	3
K11525	0	1
K11527	1	3
K11528	0	1
K11530	1	2
K11531	4	3
K11532	0	1
K11533	32	27
K11534	6	6
K11535	11	11
K11537	0	4
K11540	0	1
K11594	0	2
K11601	1	4
K11602	1	0
K11603	0	2
K11604	5	6
K11605	0	4
K11606	4	4
K11607	6	5
K11614	0	4
K11615	0	2
K11616	2	9
K11618	0	2
K11622	0	1
K11626	0	1
K11629	0	1
K11630	0	4
K11635	1	1
K11645	8	15
K11654	1	1
K11685	2	1
K11690	2	2
K11704	0	8
K11705	0	9
K11706	1	11
K11707	4	6
K11708	1	5
K11709	0	3
K11710	1	10
K11717	19	38
K11719	3	1
K11720	8	9
K11729	1	0
K11732	11	8
K11733	11	27
K11734	30	11
K11735	8	1
K11736	20	15
K11737	18	34
K11738	17	26
K11741	0	5
K11742	2	2
K11743	1	2
K11744	10	6
K11745	11	9
K11746	2	1
K11747	18	7
K11748	6	2
K11749	11	20
K11750	6	3
K11751	14	9
K11752	2	14
K11753	12	24
K11754	19	30
K11755	3	6
K11778	0	1
K11781	0	1
K11787	0	1
K11788	0	1
K11811	0	2
K11891	43	18
K11892	8	1
K11893	16	2
K11895	9	3
K11896	19	4
K11897	0	1
K11900	11	9
K11901	2	3
K11903	6	4
K11904	0	1
K11905	2	1
K11906	4	2
K11907	19	25
K11910	8	2
K11911	5	2
K11914	1	0
K11916	0	1
K11921	7	6
K11923	3	1
K11924	3	3
K11925	7	5
K11926	2	1
K11927	10	35
K11928	8	26
K11929	12	5
K11931	10	4
K11932	3	6
K11933	6	4
K11934	1	3
K11935	7	1
K11936	13	1
K11937	4	0
K11938	3	3
K11939	5	8
K11940	1	3
K11941	8	5
K11959	6	6
K11960	8	11
K11961	7	6
K11962	6	8
K11963	6	5
K11991	9	8
K11996	7	6
K12055	0	1
K12063	0	1
K12111	0	15
K12113	0	2
K12136	1	1
K12137	1	4
K12138	1	0
K12140	0	1
K12141	3	1
K12142	6	3
K12143	1	0
K12144	3	2
K12146	1	0
K12147	0	3
K12148	1	1
K12149	2	1
K12151	1	2
K12152	2	2
K12251	1	0
K12255	4	1
K12256	1	3
K12257	3	4
K12262	1	3
K12264	6	8
K12265	9	5
K12266	13	10
K12267	3	7
K12269	0	2
K12288	5	1
K12289	0	1
K12290	1	0
K12291	0	2
K12292	1	1
K12293	1	0
K12294	1	0
K12295	0	1
K12296	1	0
K12297	18	9
K12299	6	2
K12308	37	27
K12339	4	9
K12340	7	10
K12341	0	1
K12343	0	1
K12355	0	1
K12368	19	31
K12369	17	12
K12370	15	14
K12371	17	12
K12372	8	12
K12373	16	59
K12386	1	0
K12389	1	0
K12410	8	16
K12441	0	1
K12452	0	1
K12500	0	1
K12503	0	7
K12506	0	7
K12508	1	0
K12510	2	1
K12511	0	1
K12518	0	1
K12524	14	5
K12525	14	1
K12527	4	14
K12541	6	3
K12542	1	0
K12549	0	1
K12551	0	1
K12555	2	18
K12556	6	16
K12567	1	0
K12573	15	54
K12574	5	29
K12582	5	4
K12598	0	2
K12599	0	1
K12608	0	1
K12657	0	1
K12658	0	4
K12660	4	5
K12661	10	3
K12685	2	1
K12700	4	4
K12733	0	1
K12734	0	1
K12736	0	2
K12756	2	0
K12811	1	1
K12815	1	0
K12818	1	1
K12820	0	1
K12823	1	1
K12858	0	1
K12940	3	6
K12941	6	16
K12942	12	11
K12943	4	1
K12944	4	1
K12945	6	3
K12953	1	1
K12957	7	7
K12960	2	8
K12961	3	3
K12962	1	0
K12963	1	1
K12972	11	13
K12973	0	1
K12974	5	4
K12975	5	6
K12979	8	0
K12982	1	0
K12983	1	0
K12984	2	0
K12992	0	1
K12994	6	0
K12995	4	0
K12996	5	1
K12997	0	2
K12999	0	8
K13006	0	1
K13010	1	3
K13012	1	5
K13013	0	1
K13014	7	1
K13016	0	2
K13017	1	1
K13018	0	1
K13019	0	4
K13021	10	4
K13034	0	1
K13038	10	28
K13040	0	1
K13043	0	3
K13051	8	11
K13052	0	1
K13053	3	0
K13057	0	1
K13059	3	2
K13063	1	0
K13069	5	9
K13116	0	1
K13140	1	0
K13177	0	2
K13181	0	1
K13237	0	1
K13243	0	2
K13244	1	0
K13252	1	0
K13255	3	2
K13256	0	2
K13278	0	2
K13280	0	3
K13283	4	2
K13288	7	8
K13292	5	17
K13301	3	0
K13356	0	1
K13370	0	1
K13378	11	14
K13408	3	0
K13409	9	10
K13487	0	1
K13497	9	13
K13498	16	12
K13524	0	1
K13525	2	4
K13526	0	1
K13527	5	7
K13529	2	0
K13531	0	2
K13540	0	1
K13541	0	1
K13542	1	2
K13570	1	0
K13571	14	4
K13572	0	1
K13574	7	6
K13581	0	1
K13584	1	1
K13587	0	1
K13588	0	1
K13590	4	7
K13598	0	1
K13599	2	2
K13628	3	3
K13629	7	4
K13630	0	1
K13631	0	1
K13632	2	4
K13633	9	3
K13634	8	5
K13635	6	4
K13636	8	6
K13637	3	4
K13638	3	0
K13639	1	1
K13640	2	7
K13641	5	4
K13643	2	3
K13650	0	1
K13652	3	1
K13653	0	6
K13668	0	3
K13670	0	1
K13683	0	2
K13688	0	19
K13694	3	4
K13695	2	5
K13727	3	2
K13745	12	6
K13747	3	6
K13771	1	6
K13774	0	2
K13777	0	1
K13787	7	3
K13788	23	14
K13789	3	12
K13794	2	3
K13795	0	2
K13796	0	2
K13797	0	1
K13799	0	1
K13806	0	1
K13816	0	2
K13819	0	2
K13820	0	1
K13821	26	47
K13829	6	0
K13830	0	1
K13863	0	1
K13871	1	0
K13888	7	10
K13889	5	3
K13890	6	7
K13891	4	7
K13892	9	14
K13893	9	8
K13894	10	8
K13895	5	4
K13896	12	21
K13918	10	8
K13919	0	2
K13920	3	1
K13921	7	4
K13922	8	12
K13923	4	2
K13924	3	1
K13926	17	13
K13927	0	1
K13928	6	5
K13929	13	15
K13930	3	5
K13931	2	1
K13932	4	17
K13933	5	5
K13934	4	4
K13935	6	5
K13936	7	5
K13938	3	1
K13939	0	1
K13940	6	1
K13941	0	2
K13950	1	2
K13953	8	16
K13954	3	3
K13979	7	14
K13990	0	3
K13993	0	4
K14051	1	2
K14052	9	11
K14054	4	7
K14055	6	2
K14056	1	1
K14057	5	4
K14058	4	6
K14059	0	1
K14060	1	1
K14061	1	2
K14062	20	4
K14063	4	3
K14064	2	3
K14067	1	0
K14090	0	1
K14152	1	0
K14153	1	1
K14155	15	45
K14161	0	1
K14162	0	16
K14170	7	12
K14187	8	5
K14188	0	2
K14189	0	1
K14205	0	22
K14209	1	0
K14210	0	1
K14213	0	2
K14260	16	13
K14261	7	3
K14267	0	1
K14268	2	0
K14269	2	2
K14274	0	1
K14287	6	10
K14309	0	1
K14333	5	1
K14347	5	8
K14348	3	3
K14350	0	1
K14351	0	1
K14387	0	1
K14392	10	7
K14393	10	6
K14414	2	6
K14439	2	0
K14441	11	17
K14445	4	14
K14454	0	1
K14455	0	1
K14465	0	1
K14489	2	0
K14519	0	6
K14536	0	1
K14538	1	0
K14540	2	10
K14572	0	1
K14588	10	4
K14591	6	4
K14623	2	0
K14640	0	1
K14645	0	3
K14649	0	1
K14652	1	21
K14664	0	1
K14665	1	0
K14667	0	1
K14681	1	0
K14682	5	3
K14727	0	1
K14729	0	2
K14742	5	8
K14760	0	1
K14761	0	4
K14762	2	2
K14777	0	2
K14778	0	1
K14779	0	1
K14787	0	1
K14805	0	1
K14806	0	1
K14807	0	3
K14809	0	1
K14810	0	1
K14811	0	1
K14819	0	2
K14981	2	0
K14982	0	4
K14983	2	2
K15013	1	0
K15022	0	1
K15024	0	7
K15033	0	1
K15034	1	2
K15036	0	1
K15051	0	3
K15054	0	1
K15083	1	1
K15111	0	1
K15125	7	14
K15173	0	2
K15178	0	1
K15192	1	2
K15198	0	1
K15255	3	0
K15256	3	4
K15257	11	6
K15261	0	1
K15268	4	5
K15269	4	3
K15342	0	6
K15371	3	7
K15372	11	6
K15373	3	3
K15395	0	1
K15396	4	2
K15460	5	1
K15461	11	8
K15497	1	1
K15505	2	1
K15520	1	2
K15521	2	1
K15522	1	0
K15524	0	5
K15525	1	1
K15527	0	5
K15532	4	15
K15533	8	18
K15534	0	1
K15536	2	1
K15539	6	5
K15540	2	1
K15545	9	8
K15546	0	1
K15547	13	11
K15548	5	9
K15549	9	4
K15550	9	8
K15551	6	9
K15552	6	7
K15553	18	23
K15554	10	12
K15555	11	17
K15576	5	5
K15577	5	3
K15578	5	8
K15579	0	1
K15580	43	49
K15581	8	22
K15582	12	13
K15583	10	20
K15584	8	0
K15585	8	3
K15586	7	1
K15587	6	0
K15598	5	4
K15599	3	5
K15600	3	6
K15629	0	3
K15633	12	15
K15634	14	23
K15653	1	0
K15677	0	1
K15711	0	1
K15721	0	4
K15722	3	2
K15723	3	1
K15724	3	1
K15725	1	1
K15726	0	1
K15727	0	2
K15735	4	0
K15736	7	0
K15737	6	0
K15738	28	60
K15739	1	3
K15770	12	8
K15771	10	15
K15772	9	12
K15773	2	1
K15778	0	2
K15786	1	0
K15789	0	2
K15791	0	1
K15827	3	3
K15828	10	12
K15829	5	4
K15830	10	7
K15831	5	4
K15832	5	3
K15833	2	1
K15834	1	1
K15836	12	8
K15852	0	1
K15866	1	9
K15888	0	2
K15894	0	3
K15904	0	1
K15910	0	5
K15912	0	4
K15915	0	1
K15922	0	5
K15923	9	1
K15974	3	2
K15975	0	4
K15977	8	11
K15984	5	3
K15986	0	10
K15987	0	6
K16011	0	3
K16012	11	22
K16013	14	30
K16014	0	9
K16020	0	1
K16044	5	6
K16050	1	0
K16051	0	1
K16052	0	3
K16053	14	11
K16066	4	7
K16074	12	13
K16076	6	2
K16077	25	19
K16087	11	7
K16088	0	12
K16089	44	66
K16090	14	6
K16091	0	17
K16092	8	12
K16135	6	5
K16136	4	5
K16137	6	6
K16139	0	1
K16146	0	2
K16147	9	14
K16148	9	6
K16150	0	1
K16153	0	6
K16164	1	1
K16165	0	2
K16169	1	13
K16196	0	1
K16200	0	1
K16209	10	9
K16210	25	25
K16211	1	3
K16214	0	4
K16261	5	7
K16263	5	4
K16264	9	11
K16280	1	0
K16291	16	21
K16293	0	1
K16299	1	1
K16301	9	15
K16322	10	8
K16323	1	0
K16324	0	2
K16328	0	2
K16329	0	1
K16345	16	10
K16348	2	1
K16363	0	4
K16370	5	7
K16371	0	4
K16423	0	1
K16474	0	1
K16509	0	4
K16511	0	5
K16514	5	3
K16515	3	2
K16516	10	3
K16554	0	1
K16566	1	1
K16650	1	1
K16651	6	4
K16692	9	14
K16693	9	1
K16695	0	1
K16698	0	1
K16704	4	4
K16710	0	1
K16743	1	0
K16784	1	4
K16785	2	18
K16786	3	18
K16787	20	64
K16788	1	4
K16789	0	3
K16839	8	7
K16840	3	2
K16841	2	5
K16842	4	4
K16843	1	0
K16845	0	1
K16849	0	1
K16850	0	5
K16868	4	5
K16869	0	1
K16870	0	1
K16881	0	1
K16898	6	22
K16899	6	21
K16911	0	3
K16923	0	3
K16924	0	4
K16925	1	2
K16926	0	1
K16937	0	1
K16950	0	1
K16951	0	1
K16957	0	1
K16958	0	1
K16959	0	1
K16960	1	2
K16962	0	1
K16963	1	3
K17043	0	1
K17062	0	2
K17065	1	0
K17069	0	2
K17073	0	1
K17074	3	13
K17076	3	12
K17103	0	4
K17195	6	4
K17202	5	4
K17203	6	5
K17204	5	11
K17207	0	1
K17209	1	0
K17210	0	2
K17213	9	5
K17214	6	5
K17215	14	12
K17216	0	1
K17217	1	2
K17235	0	1
K17238	0	1
K17245	0	1
K17246	0	1
K17247	4	1
K17318	9	11
K17319	5	12
K17320	2	14
K17323	1	0
K17327	0	1
K17328	0	1
K17463	0	1
K17466	1	0
K17473	2	1
K17489	1	5
K17544	0	1
K17623	2	3
K17624	9	1
K17675	0	1
K17677	31	18
K17679	0	2
K17686	35	67
K17713	5	9
K17716	0	10
K17733	1	0
K17737	5	7
K17739	0	1
K17759	11	14
K17810	4	13
